Postcode,Population
AL1  1,"5,453"
AL1  2,"6,523"
AL1  3,"4,179"
AL1  4,"9,799"
AL1  5,"10,226"
AL10 0,"9,935"
AL10 8,"10,998"
AL10 9,"14,967"
AL2  1,"9,507"
AL2  2,"6,130"
AL2  3,"7,967"
AL3  4,"5,565"
AL3  5,"8,831"
AL3  6,"4,281"
AL3  7,"5,344"
AL3  8,"4,441"
AL4  0,"9,308"
AL4  8,"6,509"
AL4  9,"11,451"
AL5  1,"6,090"
AL5  2,"4,676"
AL5  3,"4,659"
AL5  4,"6,450"
AL5  5,"8,365"
AL6  0,"6,434"
AL6  9,"4,788"
AL7  1,"5,761"
AL7  2,"7,395"
AL7  3,"10,114"
AL7  4,"10,620"
AL8  6,"5,869"
AL8  7,"7,383"
AL9  5,"2,085"
AL9  6,"1,427"
AL9  7,"6,897"
B1   1,"4,099"
B1   2,"2,897"
B1   3,993
B10  0,"8,206"
B10  9,"17,702"
B11  1,"11,688"
B11  2,"3,479"
B11  3,"17,242"
B11  4,"12,295"
B12  0,"4,129"
B12  8,"8,748"
B12  9,"7,878"
B13  0,"13,458"
B13  8,"7,678"
B13  9,"15,681"
B14  4,"12,710"
B14  5,"10,926"
B14  6,"12,143"
B14  7,"7,634"
B15  1,"2,582"
B15  2,"9,675"
B15  3,"5,964"
B16  0,"10,022"
B16  8,"6,754"
B16  9,"6,994"
B17  0,"8,835"
B17  8,"9,118"
B17  9,"7,610"
B18  4,"6,676"
B18  5,"5,132"
B18  6,"1,890"
B18  7,"2,585"
B19  1,"8,818"
B19  2,"7,537"
B19  3,"3,713"
B2   4,451
B2   5,165
B20  1,"8,296"
B20  2,"10,818"
B20  3,"14,975"
B21  0,"10,012"
B21  8,"9,576"
B21  9,"10,738"
B23  5,"15,189"
B23  6,"11,113"
B23  7,"16,568"
B24  0,"10,567"
B24  8,"8,028"
B24  9,"10,275"
B25  8,"16,005"
B26  1,"10,895"
B26  2,"11,456"
B26  3,"10,475"
B27  6,"9,604"
B27  7,"15,230"
B28  0,"14,567"
B28  8,"7,734"
B28  9,"7,735"
B29  4,"6,122"
B29  5,"10,203"
B29  6,"13,598"
B29  7,"12,101"
B3   1,"2,441"
B3   2,133
B30  1,"10,109"
B30  2,"11,521"
B30  3,"7,454"
B31  1,"11,388"
B31  2,"12,076"
B31  3,"11,150"
B31  4,"9,928"
B31  5,"9,760"
B32  1,"9,377"
B32  2,"12,079"
B32  3,"11,942"
B32  4,"5,120"
B33  0,"10,462"
B33  8,"11,937"
B33  9,"12,114"
B34  6,"11,167"
B34  7,"8,160"
B35  6,"4,240"
B35  7,"5,731"
B36  0,"12,698"
B36  8,"12,779"
B36  9,"9,274"
B37  5,"9,965"
B37  6,"11,857"
B37  7,"13,906"
B38  0,"2,084"
B38  8,"9,201"
B38  9,"10,069"
B4   6,340
B4   7,"4,343"
B42  1,"10,974"
B42  2,"13,393"
B43  5,"10,947"
B43  6,"6,541"
B43  7,"10,953"
B44  0,"15,427"
B44  8,"10,020"
B44  9,"11,644"
B45  0,"7,143"
B45  8,"10,605"
B45  9,"12,437"
B46  1,"7,223"
B46  2,"2,147"
B46  3,"2,702"
B47  5,"6,596"
B47  6,"2,759"
B48  7,"5,796"
B49  5,"4,344"
B49  6,"5,845"
B5   4,"2,134"
B5   5,865
B5   6,222
B5   7,"8,762"
B50  4,"5,350"
B6   4,"1,090"
B6   5,"4,388"
B6   6,"11,456"
B6   7,"2,730"
B60  1,"7,692"
B60  2,"7,881"
B60  3,"9,030"
B60  4,"3,348"
B61  0,"10,028"
B61  7,"5,187"
B61  8,"5,803"
B61  9,"2,452"
B62  0,"6,307"
B62  8,"8,042"
B62  9,"10,052"
B63  1,"5,920"
B63  2,"12,109"
B63  3,"7,834"
B63  4,"10,568"
B64  5,"3,740"
B64  6,"6,879"
B64  7,"5,909"
B65  0,"5,899"
B65  8,"7,767"
B65  9,"10,104"
B66  1,"3,650"
B66  2,"1,588"
B66  3,"7,268"
B66  4,"8,828"
B67  5,"9,923"
B67  6,"10,540"
B67  7,"9,924"
B68  0,"9,240"
B68  8,"9,686"
B68  9,"11,662"
B69  1,"14,938"
B69  2,"5,166"
B69  3,"3,550"
B69  4,"5,304"
B7   4,"3,586"
B7   5,"4,960"
B70  0,"6,915"
B70  6,"6,871"
B70  7,"3,039"
B70  8,"3,915"
B70  9,"7,252"
B71  1,"8,545"
B71  2,"10,140"
B71  3,"8,645"
B71  4,"3,660"
B72  1,"9,569"
B73  5,"13,303"
B73  6,"9,498"
B74  2,"9,906"
B74  3,"11,322"
B74  4,"11,242"
B75  5,"8,079"
B75  6,"8,894"
B75  7,"9,714"
B76  0,378
B76  1,"11,672"
B76  2,"6,525"
B76  9,"3,076"
B77  1,"10,716"
B77  2,"14,627"
B77  3,"8,833"
B77  4,"14,200"
B77  5,"8,937"
B78  1,"10,197"
B78  2,"4,379"
B78  3,"9,798"
B79  0,"3,210"
B79  7,"6,117"
B79  8,"10,494"
B79  9,"2,305"
B8   1,"10,570"
B8   2,"15,262"
B8   3,"16,097"
B80  7,"7,060"
B9   4,"4,358"
B9   5,"20,545"
B90  1,"10,555"
B90  2,"12,790"
B90  3,"10,416"
B90  4,"11,598"
B91  1,"10,876"
B91  2,"11,752"
B91  3,"10,538"
B92  0,"3,980"
B92  7,"12,664"
B92  8,"12,428"
B92  9,"8,173"
B93  0,"3,467"
B93  8,"7,783"
B93  9,"8,456"
B94  5,"3,870"
